license_state,license_status,license_number,licensee_name_business,establishment_address_full
Georgia,Inactive,47136,200 CLUB OF THE COASTAL EMPIRTE,88 RANDOLPH ST SAVANNAH GA 31401-2925
Georgia,Active,56809,200 PEACHTREE,200 PEACHTREE ST NW ATLANTA GA 30303-1704
Georgia,Active,56811,200 PEACHTREE,200 PEACHTREE ST NW ATLANTA GA 30303-1704
Georgia,Active,56810,200 PEACHTREE,200 PEACHTREE ST NW ATLANTA GA 30303-1704
Georgia,Active,56808,200 PEACHTREE,200 PEACHTREE ST NW ATLANTA GA 30303-1704
Georgia,Inactive,53980,21 AND ABOVE PACKAGE,1011 CLARK AVE ALBANY GA 31705-1964
Georgia,Inactive,34438,21 PACKAGE STORE,6147 HIGHWAY 278 NW COVINGTON GA 30014-2140
Georgia,Active,56579,21ST AMENDMENT BREWERY,563 2ND ST SAN FRANCISCO CA 94107-1411
Georgia,Active,45064,21ST CENTURY SPIRITS LLC,6560 E WASHINGTON BLVD COMMERCE CA 90040-1822
Georgia,Active,40376,BP FOODMART,607 SIGMAN RD NE STE 200 CONYERS GA 30013-1330
Georgia,Active,54889,ROSSVILLE FOOD MART,1436 WILSON RD ROSSVILLE GA 30741-2199
Georgia,Inactive,37520,221 QUICK STOP,465 UVALDA HWY HAZLEHURST GA 31539-4803
Georgia,Inactive,52703,24/7 IMPORTS,1029 PUERTA DEL SOL DR LAS VEGAS NV 89138-6058
Georgia,Inactive,39026,245 FOOD MART,245 RIVERSTONE PKWY CANTON GA 30114-5630
Georgia,Active,48659,MOUNTAIN SPIRITS,3503 HIGHWAY 411 N STE 101 ETON GA 30705-6544
Georgia,Inactive,55980,25 SPORTS BAR,2530 HIGHWAY 25 S MILLEN GA 30442
Georgia,Active,41751,LINE CREEK LIQUOR,2763B GA HWY 54 PEACHTREE CITY GA 30269
Georgia,Active,61480,26 BRIX LLC,400 SILVERADO TRL CALISTOGA CA 94515-1809
Georgia,Active,35675,27TH GRILL,590 S MAIN AVE PINE MOUNTAIN GA 31822-2360
Georgia,Active,21940,COLISEUM,801 WALTON WAY AUGUSTA GA 30901-2962
Georgia,Inactive,23202,29 PACKAGE STORE,4098 HIGHWAY 29 NW LILBURN GA 30047-2833
Georgia,Inactive,51226,29 SONGS,716 LIPARITA AVE ANGWIN CA 94508-9605
Georgia,Inactive,53835,2FATGUYS TAKE & BAKE PIZZA,3170 FRONTAGE RD STE C GAINESVILLE GA 30504-8209
Georgia,Inactive,57811,2ND BRIGADE 3RD INFANTRY DIVISION,FRONT OF THE RIVERBOAT ON THE PLAZA SAVANNAH GA 31412
Georgia,Inactive,54027,2ND CHANCE,3260 JEFFERSONVILLE RD STE B MACON GA 31217-5178
Georgia,Active,27665,2ND HALF SPORTS PUB & GRILL,25 CARSON LOOP NW CARTERSVILLE GA 30121-4429
Georgia,Active,67337,2X4 BREWING & IMPORTS,1635 S 7TH ST SAN JOSE CA 95112
Georgia,Active,47535,3 AMIGOS MEXICAN BAR & GRILL,1000 WHITLOCK AVE NW STE 400 MARIETTA GA 30064-1931
Georgia,Inactive,21689,3 BROTHERS FOOD MART,1544 WELLBORN RD STE 1 LITHONIA GA 30058-5492
Georgia,Active,46693,POPLAR MART,565 POPLAR ST MACON GA 31201-2753
Georgia,Active,68744,3 BROTHERS INDIAN CUISINE,8465 HOLCOMB BRIDGE RD STE 4001 ALPHARETTA GA 30022-2882
Georgia,Inactive,58757,3 CEES MARKET,420 US HIGHWAY 80 W GARDEN CITY GA 31408-3106
Georgia,Active,69675,3 COUNTRIES RESTAURANT LLC,195 SPRING ST STE A MACON GA 31201-1961
Georgia,Active,69867,3 CROWNS DISTRIBUTORS,950 MOUNTAIN VIEW AVE OXNARD CA 93030
Georgia,Active,37814,3 LIL PIGS,1705 CLEVELAND HWY STE 4 GAINESVILLE GA 30501-1363
Georgia,Inactive,55453,3 MAX LLC,12020 ETRIS RD STE B140 ROSWELL GA 30075-8013
Georgia,Active,66262,3 PARKS WINE,880 GLENWOOD AVENUE SUITE C ATLANTA GA 30316
Georgia,Active,51526,3 VODKA DISTILLING CO.,480 BROOME ST APT 2 NEW YORK NY 10013-2250
Georgia,Active,57238,3.14 ENTERPRISES LLC,625 W CROSSVILLE RD STE A110 ROSWELL GA 30075-7503
Georgia,Inactive,56819,30 ROUNDS SPORTSBAR,2802 AUGUSTA HWY BONEVILLE GA 30806
Georgia,Inactive,19126,301 FOOD AND GAS,17899 US HIGHWAY 301 N STATESBORO GA 30461-7480
Georgia,Active,32515,AKERS MILL FOOD MART,2243 AKERS MILL RD SE ATLANTA GA 30339-2604
Georgia,Active,36309,S3 EXPRESS TEXACO,3790 MANSELL RD ALPHARETTA GA 30022-8246
Georgia,Inactive,31512,302 SOUTH STREET,302 SOUTH STREET BLDG FREE STANDING CARROLLTON GA 30117
Georgia,Active,64966,302 SOUTH STREET,302 SOUTH STREET BLDG FREE STANDING CARROLLTON GA 30117
Georgia,Active,17628,CENTRAL LIQUOR OF SANDERSVILLE,119 E CHURCH ST SANDERSVILLE GA 31082-2400
Georgia,Inactive,51105,31 IS AIR FORCE,1301 GREENE ST AUGUSTA GA 30901-1031
Georgia,Active,62256,3109 PIEDMONT ESTATE & GARDENS,3109 PIEDMONT RD NE ATLANTA GA 30305-2507
Georgia,Inactive,62717,333 ON BROAD,333 BROAD ST ROME GA 30161-3005
Georgia,Inactive,39812,333 ON BROAD,333 BROAD ST ROME GA 30161-3005
Georgia,Inactive,52715,341 GROCERY LLC,4700B US HIGHWAY 341 S ROBERTA GA 31078-6862
Georgia,Inactive,19865,341 LIQUOR STORE,117 N HOUSTON ST HAWKINSVILLE GA 31036-1513
Georgia,Inactive,22572,SHELL,524 FLINT RIVER RD JONESBORO GA 30238-4511
Georgia,Active,7156,PINIONS,3150 ROME HWY ARAGON GA 30104-2402
Georgia,Active,58636,35 MAPLE STREET,489 1ST ST W SONOMA CA 95476-6608
Georgia,Active,70049,37 MAIN - A ROCK CAFE,6000 MEDLOCK BRIDGE PKWY STE F100 JOHNS CREEK GA 30022-7908
Georgia,Active,45679,37 MAIN - A ROCK CAFE,37 E MAIN ST STE A BUFORD GA 30518-5713
