X,Y,Name,Description
-84.390791,33.622814,Clayton Transitional Center and Clayton Diversion Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130630403081078/"">130630403081078</a></div><div>County: Clayton County</div><div>2010 Correctional Population: 329</div>"
-84.307663,33.446889,Clayton County Prison,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130630406061032/"">130630406061032</a></div><div>County: Clayton County</div><div>2010 Correctional Population: 215</div>"
-84.309757,33.436717,Robert A. Dayton Detention Facility,"<div>Facility type: Federal</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130630406062002/"">130630406062002</a></div><div>County: Clayton County</div><div>2010 Correctional Population: 586</div>"
-84.359893,33.507347,Clayton County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130630406123040/"">130630406123040</a></div><div>County: Clayton County</div><div>2010 Correctional Population: 1776</div>"
-82.749906,31.038071,Clinch County Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130659701004037/"">130659701004037</a></div><div>County: Clinch County</div><div>2010 Correctional Population: 29</div>"
-84.660353,34.060344,Acworth City Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130670301032014/"">130670301032014</a></div><div>County: Cobb County</div><div>2010 Correctional Population: 16</div>"
-84.623982,34.021166,Kennesaw City Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130670302152010/"">130670302152010</a></div><div>County: Cobb County</div><div>2010 Correctional Population: 10</div>"
-84.579926,33.90962,Cobb County Work Release Center,"<div>Facility type: State</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130670309051008/"">130670309051008</a></div><div>County: Cobb County</div><div>2010 Correctional Population: 258</div>"
-84.577741,33.908079,Cobb County Sheriff's Office Jail and Prison Unit,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130670309051010/"">130670309051010</a></div><div>County: Cobb County</div><div>2010 Correctional Population: 2085</div>"
-84.517711,33.88792,Smyrna City Jail,"<div>Facility type: Local</div><div>Geoid: <a href=""http://www.prisonersofthecensus.org/data/2010blocks/130670311012015/"">130670311012015</a></div><div>County: Cobb County</div><div>2010 Correctional Population: 47</div>"
